"...1","trainId","num_key_cars","num_hazard_shipments"
1,24922,0,23
2,24992,0,60
4,25033,0,30
10,25323,1,97
12,25376,0,58
14,25398,2,50
15,25399,3,98
21,25435,0,29
28,25456,0,55
65,25669,0,35
69,25684,0,31
72,25696,0,42
84,25734,0,28
94,25787,0,122
99,25924,0,52
104,25942,0,68
105,25945,0,26
113,25965,1,53
123,26007,0,60
124,26009,0,50
129,26024,0,59
140,26066,0,22
142,26074,0,187
146,26113,0,135
151,26214,0,26
152,26226,0,104
159,26282,1,78
160,26295,0,45
164,26330,0,28
170,26354,0,26
171,26365,0,31
173,26368,0,20
175,26373,0,27
180,26464,0,79
186,26495,0,35
193,26531,0,20
194,26532,1,62
199,26549,0,45
215,26614,0,53
219,26631,0,25
228,26747,0,21
235,26780,0,26
236,26784,0,28
256,26856,1,153
266,26892,0,59
267,26893,0,105
275,26954,0,24
280,27024,0,35
283,27043,0,24
287,27068,0,103
293,27092,0,37
296,27102,0,47
298,27108,0,27
307,27169,0,38
312,27183,0,46
315,27195,0,30
317,27197,0,68
320,27207,0,58
327,27235,1,36
329,27272,0,38
335,27315,0,28
344,27364,0,62
347,27374,0,56
382,27545,0,64
384,27554,0,64
393,27605,0,27
394,27606,0,33
397,27637,0,58
407,27679,1,100
408,27714,0,20
425,27798,0,124
428,27813,0,119
429,27824,1,80
431,27829,0,54
437,27850,1,21
440,27885,0,20
441,27887,2,37
442,27906,0,69
466,28020,0,45
471,28033,0,76
474,28106,0,33
477,28143,0,157
480,28215,0,49
486,28270,0,31
495,28336,0,42
501,28362,0,26
502,28364,0,26
505,28380,0,23
510,28463,0,75
518,28526,0,78
519,28530,0,26
521,28551,0,204
524,28572,0,69
525,28578,0,31
530,28590,0,75
540,28629,0,20
550,28658,0,20
552,28669,0,20
561,28772,0,20
566,28795,0,32
568,28811,0,36
587,28890,0,68
596,28999,0,29
600,29017,0,22
603,29068,3,127
610,29130,0,78
617,29144,0,61
618,29145,0,38
620,29162,0,209
621,29166,6,15
642,29304,0,20
646,29325,0,28
653,29358,0,29
658,29378,0,50
668,29417,0,21
678,29544,0,20
681,29591,0,31
684,29620,0,56
686,29634,0,74
687,29640,0,34
688,29641,2,63
689,29647,5,78
691,29676,0,33
692,29683,0,33
697,29700,0,76
702,29720,0,24
704,29734,0,40
711,29753,0,95
725,29853,1,48
726,29875,0,24
732,29891,0,227
743,29940,0,54
759,29994,0,26
772,30042,3,40
773,30044,0,162
786,30143,0,22
790,30193,0,73
802,30300,0,101
810,30324,0,22
814,30353,0,59
822,30405,0,20
826,30426,0,23
829,30437,0,37
834,30502,0,32
835,30505,0,145
836,30509,0,51
837,30513,4,27
842,30531,0,28
843,30534,0,60
857,30626,0,25
859,30633,0,33
868,30684,0,50
869,30690,0,22
870,30694,0,22
873,30760,0,52
879,30832,0,28
881,30842,0,125
902,30952,0,95
910,31045,0,34
911,31046,0,89
917,31071,0,36
918,31077,0,55
922,31096,0,21
926,31107,0,21
930,31125,0,189
933,31153,0,97
934,31159,0,50
943,31258,0,35
944,31263,0,22
967,31363,0,71
968,31365,0,51
987,31474,0,27
989,31493,0,79
1006,31629,2,97
