"sightingId","trainId","sensorId","detectionTimeUTC","detectionTimeSensorLocal","detectionEndUTC","detectionEndSensorLocal","direction","speedMph","trainType","trainOperator","warnings","issues","lastModified","estGallonageCapacity","estCubicFeetCapacity","estloadLimitTons","estTareWeightTons","estGrossWeightTons","estLengthFeet"
193885,124610,13,"2022-05-10T05:03:12.976Z","2022-05-09T22:03:12.976-07:00[America/Vancouver]",NA,NA,"Eastbound",51.6307113575147,"Manifest","CN","[]","[]","2022-05-10T05:03:12.976Z",808723.066666667,105376.727272727,9870.63321038958,3592.1602827421,13462.7934931317,7706.57651515151
195717,125755,13,"2022-05-14T14:08:38.985Z","2022-05-14T07:08:38.985-07:00[America/Vancouver]",NA,NA,"Eastbound",50.2206984897189,"Manifest","CN","[]","[]","2022-05-14T14:08:38.985Z",1168310.97222222,780362.438596491,17278.6969622533,6681.73349721668,23960.43045947,11029.5108430799
198428,128401,7,"2022-05-20T08:43:05.449Z","2022-05-20T01:43:05.449-07:00[America/Vancouver]",NA,NA,"Southbound",50.8276178964827,"Petroleum Unit","CN","[]","[]","2022-11-11T09:51:17.596Z",3474712.09259259,25840,10683.1354460716,5119.32861616082,15802.4640622324,7322.82407407408
200367,129800,8,"2022-05-24T12:39:14.899Z","2022-05-24T05:39:14.899-07:00[America/Vancouver]",NA,NA,"Westbound",52.0139888732179,"Manifest","CN","[]","[]","2022-05-24T12:39:14.899Z",1781336.6,406163.421052632,14377.0377535195,6395.30401052868,20772.3417640482,11031.635
200983,130222,8,"2022-05-25T12:57:44.728Z","2022-05-25T05:57:44.728-07:00[America/Vancouver]",NA,NA,"Westbound",50.2656188756904,"Manifest","CN","[]","[]","2022-05-25T12:57:44.728Z",1164612.93103448,539509.677419355,14154.8353424472,4789.28170625579,18944.117048703,8268.48813496477
201939,130934,8,"2022-05-27T03:49:30.790Z","2022-05-26T20:49:30.79-07:00[America/Vancouver]",NA,NA,"Westbound",50.6965753404271,"Manifest","CN","[]","[]","2022-06-16T14:34:30.884Z",2959440.60784314,72026.1538461538,12306.4830658866,5676.46116358203,17982.9442294686,8459.83739735211
202575,131182,8,"2022-05-27T20:26:17.149Z","2022-05-27T13:26:17.149-07:00[America/Vancouver]",NA,NA,"Westbound",50.6732172720188,"Manifest","CN","[]","[]","2022-06-16T14:55:50.728Z",3218404.63013699,137095.5,14047.5832565343,6426.56915824964,20474.1524147839,9820.42634540117
203674,132015,8,"2022-05-29T11:10:19.887Z","2022-05-29T04:10:19.887-07:00[America/Vancouver]",NA,NA,"Westbound",51.2677739363653,"Manifest","CN","[]","[]","2022-06-17T08:27:42.834Z",417088,397757.919254658,16744.5028050167,4844.67729018112,21589.1800951979,9966.03520025701
204104,132506,8,"2022-05-30T14:58:24.865Z","2022-05-30T07:58:24.865-07:00[America/Vancouver]",NA,NA,"Westbound",52.2005413016167,"Manifest","CN","[]","[]","2022-06-17T08:43:50.208Z",667280.52631579,471045.453567937,14423.5343477137,5141.91059223451,19565.4449399482,9868.58601721802
204824,132306,47,"2022-05-31T19:25:47.639Z","2022-05-31T13:25:47.639-06:00[America/Edmonton]",NA,NA,"Eastbound",56.1486634074622,"Petroleum Unit","CN","[]","[]","2022-06-16T17:39:43.389Z",3366953.69811321,70353.2,13520.1275494285,5965.91889539287,19486.0464448214,8011.21981132076
205425,133273,8,"2022-06-01T18:20:14.358Z","2022-06-01T11:20:14.358-07:00[America/Vancouver]",NA,NA,"Westbound",50.8474930866437,"Manifest","CN","[]","[]","2022-06-17T09:09:48.798Z",1130179.125,324529.88957902,15743.222527006,5348.21850935534,21091.4410363613,10196.771976363
205480,132920,47,"2022-06-01T22:57:34.303Z","2022-06-01T16:57:34.303-06:00[America/Edmonton]",NA,NA,"Eastbound",54.285337238471,"Manifest","CN","[]","[]","2022-06-16T18:14:46.600Z",2294097.125,10946,9182.83987764348,4335.92647045531,13518.7663480988,6992.82291666667
205884,131267,71,"2022-05-29T15:50:09.876Z","2022-05-29T12:50:09.876-03:00[America/Halifax]",NA,NA,"Westbound",51.1820495919968,"Manifest","CN","[]","[]","2022-06-17T08:29:43.962Z",1024675,252625.230769231,9621.06792022038,4536.44715559607,14157.5150758164,7474.94638694639
206139,133415,8,"2022-06-02T11:32:04.966Z","2022-06-02T04:32:04.966-07:00[America/Vancouver]",NA,NA,"Westbound",51.980972634213,"Manifest","CN","[]","[]","2022-06-17T10:49:08.231Z",1065254.81481481,177665.147058824,7226.41471942,3135.44433787907,10361.8590572991,4991.04411764706
206339,133622,47,"2022-06-02T18:52:21.326Z","2022-06-02T12:52:21.326-06:00[America/Edmonton]",NA,NA,"Eastbound",56.2184104870092,"Petroleum Unit","CN","[]","[]","2022-06-16T18:42:07.950Z",4928543.41791045,4700,15317.5443093137,7591.35581106027,22908.900120374,10076.5733830846
206709,133443,8,"2022-06-03T03:35:45.765Z","2022-06-02T20:35:45.765-07:00[America/Vancouver]",NA,NA,"Westbound",51.5634165724432,"Manifest","CN","[]","[]","2022-06-16T18:53:50.905Z",2101732.85714286,163986,10577.8692922665,4537.91404542099,15115.7833376875,7111.69444444445
206849,133696,8,"2022-06-03T10:19:40.901Z","2022-06-03T03:19:40.901-07:00[America/Vancouver]",NA,NA,"Westbound",52.659727695065,"Manifest","CN","[]","[]","2022-06-24T06:55:17.164Z",472877.5,359204.586206897,9109.88435461497,3079.87720846202,12189.761563077,5266.10344827586
207162,133986,47,"2022-06-03T20:55:17.109Z","2022-06-03T14:55:17.109-06:00[America/Edmonton]",NA,NA,"Eastbound",52.8428041940667,"Manifest","CN","[]","[]","2022-06-16T19:17:01.832Z",2838509.1,518694.333333333,18029.8303106831,7383.75278672507,25413.5830974082,11563.7330246914
207552,133997,47,"2022-06-04T10:40:58.492Z","2022-06-04T04:40:58.492-06:00[America/Edmonton]",NA,NA,"Eastbound",57.1775030558698,"Petroleum Unit","CN","[]","[]","2022-06-16T19:33:51.070Z",4729306.35658915,NA,11393.0029452297,7016.97676122487,18409.9797064546,9482.10594315244
207917,134097,8,"2022-06-04T20:49:29.678Z","2022-06-04T13:49:29.678-07:00[America/Vancouver]",NA,NA,"Westbound",50.7074114842619,"Manifest","CN","[]","[]","2022-06-17T11:23:32.989Z",1348783.05882353,352333.676470588,11556.2137320327,4332.48051837147,15888.6942504042,7011.34967320261
208154,134063,47,"2022-06-05T09:22:31.318Z","2022-06-05T03:22:31.318-06:00[America/Edmonton]",NA,NA,"Eastbound",56.563491754968,"Manifest","CN","[]","[]","2022-06-16T20:01:17.875Z",2229073.41176471,37762,10277.1315022748,4830.55349875131,15107.6850010261,8546.69791666666
208238,134494,8,"2022-06-05T11:16:35.692Z","2022-06-05T04:16:35.692-07:00[America/Vancouver]",NA,NA,"Westbound",52.7472046080345,"Manifest","CN","[]","[]","2022-06-17T11:30:05.698Z",811951.2,297686.625,13488.7293940294,4802.95557102805,18291.6849650575,9166.09866452991
208501,134491,47,"2022-06-05T20:29:32.254Z","2022-06-05T14:29:32.254-06:00[America/Edmonton]",NA,NA,"Eastbound",56.2144528016801,"Petroleum Unit","CN","[]","[]","2022-06-16T20:44:43.544Z",5613120.74509804,NA,13497.3040760053,8344.14897207735,21841.4530480827,11231.0392156863
209576,133721,8,"2022-06-07T09:04:51.560Z","2022-06-07T02:04:51.56-07:00[America/Vancouver]",NA,NA,"Westbound",51.3323132895859,"Manifest","CN","[]","[]","2022-06-17T11:58:48.096Z",1847560.68292683,344514.070588235,15599.1101735031,6255.00686725729,21854.1170407604,10411.6035846268
209602,134886,47,"2022-06-07T10:27:48.226Z","2022-06-07T04:27:48.226-06:00[America/Edmonton]",NA,NA,"Eastbound",55.9283146575155,"Manifest","CN","[]","[]","2022-06-16T21:37:15.871Z",2983236.25,118253.166666667,13408.2535532517,5963.35009319305,19371.6036464448,9186.15277777778
209625,135190,8,"2022-06-07T11:04:49Z","2022-06-07T04:04:49-07:00[America/Vancouver]",NA,NA,"Westbound",53.210758705769,"Manifest","CN","[]","[]","2022-06-17T11:59:53.581Z",810671.789473684,414094.961904762,14370.0312211426,5137.81024505034,19507.841466193,9577.32263993317
209889,135755,71,"2022-06-03T15:36:06.393Z","2022-06-03T12:36:06.393-03:00[America/Halifax]",NA,NA,"Westbound",51.5335452291014,"Manifest","CN","[]","[]","2022-06-17T11:08:01.253Z",1136921.73913043,221760,12087.5382458073,5735.43969224755,17822.9779380549,10379.7616172073
210329,135976,71,"2022-06-07T15:50:48.906Z","2022-06-07T12:50:48.906-03:00[America/Halifax]",NA,NA,"Westbound",51.4671117060436,"Manifest","CN","[]","[]","2022-06-16T21:44:12.636Z",1447187.23333333,83550.4285714286,8026.12520032324,4172.34468648779,12198.469886811,6791.78412698413
210457,135550,8,"2022-06-08T08:58:59.040Z","2022-06-08T01:58:59.04-07:00[America/Vancouver]",NA,NA,"Westbound",51.2240466666818,"Manifest","CN","[]","[]","2022-06-17T12:11:43.457Z",733380.421052632,559805.908695652,18109.2061020742,5412.65984591594,23521.8659479902,10596.2855263158
210871,135476,47,"2022-06-09T04:59:34.336Z","2022-06-08T22:59:34.336-06:00[America/Edmonton]",NA,NA,"Eastbound",55.4670129849261,"Manifest","CN","[]","[]","2022-06-16T22:31:18.922Z",2349316.85294118,49312,10925.0666336362,5191.42295390168,16116.4895875379,7712.54901960784
210876,135893,13,"2022-06-09T04:55:30.387Z","2022-06-08T21:55:30.387-07:00[America/Vancouver]",NA,NA,"Eastbound",51.782674830313,"Manifest","CN","[]","[]","2022-06-16T22:30:43.697Z",2203039.45283019,232846.941176471,12341.4400908484,6042.12392145403,18383.5640123025,9872.3338805648
211295,135639,47,"2022-06-09T18:13:18.487Z","2022-06-09T12:13:18.487-06:00[America/Edmonton]",NA,NA,"Eastbound",54.6270878452695,"Coal Unit","CN","[{""code"": ""W_MULTIPLE_PASSING_TRAINS"", ""description"": ""DEPRECATED, switch to the 'issues' field.""}]","[""Partial sighting""]","2022-06-09T18:40:05.995Z",NA,155320,4244.19532157167,760.799161361795,5004.99448293347,1857.91666666667
211618,136032,8,"2022-06-10T03:56:43.498Z","2022-06-09T20:56:43.498-07:00[America/Vancouver]",NA,NA,"Westbound",50.6338810691307,"Manifest","CN","[]","[]","2022-06-16T23:02:06.816Z",2322217.10526316,374898.444444444,14481.2851092274,5420.64714366285,19901.9322528902,8780.30295646524
213015,136754,47,"2022-06-12T07:48:38.182Z","2022-06-12T01:48:38.182-06:00[America/Edmonton]",NA,NA,"Eastbound",56.0805474728816,"Manifest","CN","[]","[]","2022-06-17T06:07:49.470Z",2248743.49180328,204273.409090909,13413.0289925977,4871.07708211708,18284.1060747148,7524.44516890214
213049,136581,8,"2022-06-12T09:09:55.616Z","2022-06-12T02:09:55.616-07:00[America/Vancouver]",NA,NA,"Westbound",51.2211546855133,"Manifest","CN","[]","[]","2022-06-17T14:25:32.470Z",1411616.8,372067.717073171,13339.7234357039,5060.64185045449,18400.3652861584,8837.57515243902
213128,136840,47,"2022-06-12T12:44:58.506Z","2022-06-12T06:44:58.506-06:00[America/Edmonton]",NA,NA,"Eastbound",50.7409340040735,"Manifest","CN","[]","[]","2022-06-19T01:49:02.786Z",2905971.56962025,524260.129032258,18258.8456754198,7456.02920456611,25714.8748799859,11679.1992650061
213649,137372,8,"2022-06-13T08:08:31.236Z","2022-06-13T01:08:31.236-07:00[America/Vancouver]",NA,NA,"Westbound",50.9639118302534,"Manifest","CN","[]","[]","2022-06-17T14:35:52.631Z",714624.375,683855.984848485,16251.6073318669,5178.25256846412,21429.859900331,9764.88068181818
214037,137698,13,"2022-06-13T21:38:26.174Z","2022-06-13T14:38:26.174-07:00[America/Vancouver]",NA,NA,"Eastbound",58.5164569942219,"Manifest","CN","[{""code"": ""W_MULTIPLE_PASSING_TRAINS"", ""description"": ""DEPRECATED, switch to the 'issues' field.""}]","[""Partial sighting""]","2022-06-17T06:52:46.240Z",1167870.59459459,243645.0875,8463.64428528643,3201.44674127644,11665.0910265629,5115.64425675676
214153,137906,71,"2022-06-14T01:20:21.287Z","2022-06-13T22:20:21.287-03:00[America/Halifax]",NA,NA,"Eastbound",51.7590937707538,"Manifest","CN","[]","[]","2022-06-17T14:43:52.009Z",1224707.82352941,182105.6,10252.4152672649,5043.33257792782,15295.7478451927,8732.17598039216
