"Date & Time","Date","Speed mph","excessSpeed","trainId","Speed Limit","Local Time","Location"
"2024-09-08T08:37:07.628-04:00[America/New_York]",2024-09-08,37.0145734097957,-12.9854265902043,988891,"Operating Within Limits","03:41 AM","East Palestine, OH"
"2024-09-09T02:36:33.413-04:00[America/New_York]",2024-09-09,25.0727631046211,-24.9272368953789,990001,"Operating Within Limits","21:40 PM","East Palestine, OH"
"2024-09-09T09:56:42.018-04:00[America/New_York]",2024-09-09,56.8783168272554,6.8783168272554,990504,"Minor Violations","05:00 AM","East Palestine, OH"
"2024-09-11T01:01:16.389-04:00[America/New_York]",2024-09-11,54.4412224110682,4.4412224110682,993680,"Minor Violations","20:05 PM","East Palestine, OH"
"2024-09-11T05:07:52.63-04:00[America/New_York]",2024-09-11,50.8507343610374,0.850734361037397,993927,"Minor Violations","00:11 AM","East Palestine, OH"
"2024-09-11T09:52:25.897-04:00[America/New_York]",2024-09-11,35.2536982370548,-14.7463017629452,994182,"Operating Within Limits","04:56 AM","East Palestine, OH"
"2024-09-12T05:39:43.407-04:00[America/New_York]",2024-09-12,68.0920024642781,18.0920024642781,995866,"Severe Violations of Safety Codes","00:43 AM","East Palestine, OH"
"2024-09-12T09:33:07.109-04:00[America/New_York]",2024-09-12,36.291139185842,-13.708860814158,996146,"Operating Within Limits","04:37 AM","East Palestine, OH"
"2024-09-12T10:46:49.126-04:00[America/New_York]",2024-09-12,51.545707416406,1.545707416406,996310,"Minor Violations","05:50 AM","East Palestine, OH"
"2024-09-12T13:17:01.335-04:00[America/New_York]",2024-09-12,46.5232769975261,-3.4767230024739,996527,"Operating Within Limits","08:20 AM","East Palestine, OH"
"2024-09-13T00:00:55.654-04:00[America/New_York]",2024-09-13,59.9066782669223,9.9066782669223,997460,"Minor Violations","19:04 PM","East Palestine, OH"
"2024-09-13T09:41:34.653-04:00[America/New_York]",2024-09-13,40.5388307866497,-9.4611692133503,998112,"Operating Within Limits","04:45 AM","East Palestine, OH"
"2024-09-14T02:16:14.682-04:00[America/New_York]",2024-09-14,52.5255984635519,2.5255984635519,999530,"Minor Violations","21:20 PM","East Palestine, OH"
"2024-09-14T05:02:55.112-04:00[America/New_York]",2024-09-14,43.9776215206703,-6.0223784793297,999672,"Operating Within Limits","00:06 AM","East Palestine, OH"
"2024-09-14T06:06:34.299-04:00[America/New_York]",2024-09-14,54.81492529524,4.81492529524,999757,"Minor Violations","01:10 AM","East Palestine, OH"
"2024-09-15T03:15:06.319-04:00[America/New_York]",2024-09-15,44.4942157520449,-5.5057842479551,1001208,"Operating Within Limits","22:19 PM","East Palestine, OH"
"2024-09-15T11:19:15.69-04:00[America/New_York]",2024-09-15,36.01884344152,-13.98115655848,1001722,"Operating Within Limits","06:23 AM","East Palestine, OH"
"2024-09-15T16:21:16.924-04:00[America/New_York]",2024-09-15,40.3002952296892,-9.6997047703108,1002032,"Operating Within Limits","11:25 AM","East Palestine, OH"
"2024-09-15T23:53:18.995-04:00[America/New_York]",2024-09-15,53.1600248476354,3.1600248476354,1002603,"Minor Violations","18:57 PM","East Palestine, OH"
"2024-09-17T04:42:50.844-04:00[America/New_York]",2024-09-17,61.2752785669307,11.2752785669307,1004671,"Severe Violations of Safety Codes","23:46 PM","East Palestine, OH"
"2024-09-17T07:36:51.015-04:00[America/New_York]",2024-09-17,44.9284668777865,-5.0715331222135,1004836,"Operating Within Limits","02:40 AM","East Palestine, OH"
"2024-09-17T10:47:27.112-04:00[America/New_York]",2024-09-17,33.0158946926724,-16.9841053073276,1005134,"Operating Within Limits","05:51 AM","East Palestine, OH"
"2024-09-19T08:36:39.867-04:00[America/New_York]",2024-09-19,48.0092289952245,-1.9907710047755,1008636,"Operating Within Limits","03:40 AM","East Palestine, OH"
"2024-09-19T09:09:55.471-04:00[America/New_York]",2024-09-19,34.7559132416273,-15.2440867583727,1008633,"Operating Within Limits","04:13 AM","East Palestine, OH"
"2024-09-20T09:04:19.665-04:00[America/New_York]",2024-09-20,38.8448979546624,-11.1551020453376,1010509,"Operating Within Limits","04:08 AM","East Palestine, OH"
"2024-09-21T08:18:12.205-04:00[America/New_York]",2024-09-21,52.0555138161063,2.0555138161063,1012348,"Minor Violations","03:22 AM","East Palestine, OH"
"2024-09-21T11:14:07.854-04:00[America/New_York]",2024-09-21,27.0536195566288,-22.9463804433712,1012475,"Operating Within Limits","06:18 AM","East Palestine, OH"
"2024-09-22T05:03:37.056-04:00[America/New_York]",2024-09-22,37.554043070302,-12.445956929698,1013634,"Operating Within Limits","00:07 AM","East Palestine, OH"
"2024-09-22T07:44:12.577-04:00[America/New_York]",2024-09-22,59.509572844513,9.509572844513,1013792,"Minor Violations","02:48 AM","East Palestine, OH"
"2024-09-22T17:07:42.687-04:00[America/New_York]",2024-09-22,42.8720337135168,-7.1279662864832,1014311,"Operating Within Limits","12:11 PM","East Palestine, OH"
"2024-09-23T06:17:43.002-04:00[America/New_York]",2024-09-23,51.5100895659615,1.5100895659615,1015166,"Minor Violations","01:21 AM","East Palestine, OH"
"2024-09-23T10:16:20.823-04:00[America/New_York]",2024-09-23,35.4621334499683,-14.5378665500317,1015411,"Operating Within Limits","05:20 AM","East Palestine, OH"
"2024-09-23T11:41:03.937-04:00[America/New_York]",2024-09-23,49.918138337498,-0.0818616625019999,1015513,"Operating Within Limits","06:45 AM","East Palestine, OH"
"2024-09-24T02:52:55.755-04:00[America/New_York]",2024-09-24,16.7805024703444,-33.2194975296556,1016683,"Operating Within Limits","21:56 PM","East Palestine, OH"
"2024-09-24T04:40:11.066-04:00[America/New_York]",2024-09-24,45.841738488203,-4.158261511797,1016839,"Operating Within Limits","23:44 PM","East Palestine, OH"
"2024-09-24T09:14:51.795-04:00[America/New_York]",2024-09-24,37.0982201468257,-12.9017798531743,1017125,"Operating Within Limits","04:18 AM","East Palestine, OH"
"2024-09-24T21:07:39.822-04:00[America/New_York]",2024-09-24,66.8237873279094,16.8237873279094,1018139,"Severe Violations of Safety Codes","16:11 PM","East Palestine, OH"
"2024-09-25T11:05:54.529-04:00[America/New_York]",2024-09-25,48.7133615743902,-1.2866384256098,1019796,"Operating Within Limits","06:09 AM","East Palestine, OH"
"2024-09-27T14:39:46.851-04:00[America/New_York]",2024-09-27,41.888996583005,-8.111003416995,1026870,"Operating Within Limits","09:43 AM","East Palestine, OH"
"2024-09-27T18:26:24.758-04:00[America/New_York]",2024-09-27,55.1711926549503,5.1711926549503,1027237,"Minor Violations","13:30 PM","East Palestine, OH"
"2024-09-28T20:34:14.501-04:00[America/New_York]",2024-09-28,45.655429558695,-4.344570441305,1029010,"Operating Within Limits","15:38 PM","East Palestine, OH"
"2024-09-29T07:00:35.741-04:00[America/New_York]",2024-09-29,45.5961162311043,-4.4038837688957,1029695,"Operating Within Limits","02:04 AM","East Palestine, OH"
"2024-09-29T12:21:30.471-04:00[America/New_York]",2024-09-29,43.4343157457022,-6.5656842542978,1030029,"Operating Within Limits","07:25 AM","East Palestine, OH"
